NMiter,kp,ki,kd,Ts,M,SSe,feas,feasResidual,Time(s),gradnorm,funCalls
245,-2.030512268102881,9.295232253770088,2.155245139222741,4.1888933233529855,0.10046662860708307,-7.990122785628273e-09,False,0.0004666286070830611,1214.582572221756,10.390109896829221,452
246,-2.0298435587368475,9.29463831268751,2.1545769191814426,4.188910405409997,0.10044681759280322,-7.972733140348964e-09,False,0.00044681759280321143,1219.8408815860748,10.392847419415485,454
247,-2.0298435587368475,9.29463831268751,2.1545769191814426,4.188910405409997,0.10044681759280322,-7.972733140348964e-09,False,0.00044681759280321143,1224.7255606651306,10.392847419415485,456
248,-2.029409057900285,9.294273287506213,2.154135514873434,4.188916833008104,0.10043640209587246,-7.963441683855876e-09,False,0.00043640209587245127,1229.88587474823,10.394695453856949,458
249,-2.029409057900285,9.294273287506213,2.154135514873434,4.188916833008104,0.10043640209587246,-7.963441683855876e-09,False,0.00043640209587245127,1235.0608460903168,10.394695453856949,460
250,-2.029677171766285,9.294521320831574,2.154400098676572,4.188907772793821,0.10044549068505368,-7.97135601970922e-09,False,0.0004454906850536733,1239.965858221054,10.393628716068305,462
251,-2.029677171766285,9.294521320831574,2.154400098676572,4.188907772793821,0.10044549068505368,-7.97135601970922e-09,False,0.0004454906850536733,1245.1602880954742,10.393628716068305,464
252,-2.029677171766285,9.294521320831574,2.154400098676572,4.188907772793821,0.10044549068505368,-7.97135601970922e-09,False,0.0004454906850536733,1250.4489035606384,10.393628716068305,466
253,-2.029677171766285,9.294521320831574,2.154400098676572,4.188907772793821,0.10044549068505368,-7.97135601970922e-09,False,0.0004454906850536733,1255.5015382766724,10.393628716068305,468
254,-2.029677171766285,9.294521320831574,2.154400098676572,4.188907772793821,0.10044549068505368,-7.97135601970922e-09,False,0.0004454906850536733,1259.8808116912842,10.393628716068305,469
255,-2.029677171766285,9.294521320831574,2.154400098676572,4.188907772793821,0.10044549068505368,-7.97135601970922e-09,False,0.0004454906850536733,1264.7068467140198,10.393628716068305,471
256,-2.0294208073285613,9.294292930699259,2.154144159251171,4.188914480099089,0.10043781478298493,-7.964620074574214e-09,False,0.0004378147829849216,1269.4714877605438,10.39467665322105,473
257,-2.0294208073285613,9.294292930699259,2.154144159251171,4.188914480099089,0.10043781478298493,-7.964620074574214e-09,False,0.0004378147829849216,1274.5296747684479,10.39467665322105,475
258,-2.0294208073285613,9.294292930699259,2.154144159251171,4.188914480099089,0.10043781478298493,-7.964620074574214e-09,False,0.0004378147829849216,1278.8743093013763,10.39467665322105,476
259,-2.0302323584436595,9.295027975095206,2.154950331058945,4.188890569902097,0.1004635030527604,-7.987075667514887e-09,False,0.00046350305276039727,1283.945266008377,10.39139842237075,478
260,-2.0302323584436595,9.295027975095206,2.154950331058945,4.188890569902097,0.1004635030527604,-7.987075667514887e-09,False,0.00046350305276039727,1289.2824909687042,10.39139842237075,480
261,-2.0300497870373597,9.294863225943203,2.154768777580369,4.188895812456053,0.10045779191368111,-7.982079885948679e-09,False,0.00045779191368110206,1294.5125496387482,10.392137507748737,482
262,-2.0300497870373597,9.294863225943203,2.154768777580369,4.188895812456053,0.10045779191368111,-7.982079885948679e-09,False,0.00045779191368110206,1298.8455789089203,10.392137507748737,483
263,-2.0300497870373597,9.294863225943203,2.154768777580369,4.188895812456053,0.10045779191368111,-7.982079885948679e-09,False,0.00045779191368110206,1303.8009762763977,10.392137507748737,485
264,-2.0300497870373597,9.294863225943203,2.154768777580369,4.188895812456053,0.10045779191368111,-7.982079885948679e-09,False,0.00045779191368110206,1308.8624308109283,10.392137507748737,487
265,-2.0300497870373597,9.294863225943203,2.154768777580369,4.188895812456053,0.10045779191368111,-7.982079885948679e-09,False,0.00045779191368110206,1314.0296902656555,10.392137507748737,489
266,-2.0300497870373597,9.294863225943203,2.154768777580369,4.188895812456053,0.10045779191368111,-7.982079885948679e-09,False,0.00045779191368110206,1319.2313194274902,10.392137507748737,491
267,-2.0300497870373597,9.294863225943203,2.154768777580369,4.188895812456053,0.10045779191368111,-7.982079885948679e-09,False,0.00045779191368110206,1324.1968884468079,10.392137507748737,492
268,-2.0300497870373597,9.294863225943203,2.154768777580369,4.188895812456053,0.10045779191368111,-7.982079885948679e-09,False,0.00045779191368110206,1329.3374960422516,10.392137507748737,494
