NMiter,Kp_h,Ki_h,Kp_th,Ki_th,Kd_th,Kp_V,Ki_V,Ts_h,M_h,SSe_h,SSe_V,Vmax,feas,feasResidual,Time(s),gradnorm,funCalls
39,0.04836014220355592,0.0067603724601738024,1.9926196560628426,0.5889728980746884,0.25399402764773016,0.34626996616326955,0.07803375027092574,4.620391845661601,0.015344785672283858,-0.00294728605678074,-0.0013443332053135748,20.73176840088665,False,0.0019472860567807402,1610.470759153366,158323.60052798718,70
40,0.04836014220355592,0.0067603724601738024,1.9926196560628426,0.5889728980746884,0.25399402764773016,0.34626996616326955,0.07803375027092574,4.620391845661601,0.015344785672283858,-0.00294728605678074,-0.0013443332053135748,20.73176840088665,False,0.0019472860567807402,1647.7127442359924,158323.60052798718,71
41,0.0496511972038889,0.006843114083244936,2.0065624497432424,0.5991299673711967,0.2538144372372655,0.3437920510805019,0.0750028882226077,4.460031731382525,0.017709974954619363,-0.0018511176537145957,-0.0016367819749802948,20.74889781184291,False,0.0008511176537145957,1687.1803636550903,147128.25108093792,73
42,0.0496511972038889,0.006843114083244936,2.0065624497432424,0.5991299673711967,0.2538144372372655,0.3437920510805019,0.0750028882226077,4.460031731382525,0.017709974954619363,-0.0018511176537145957,-0.0016367819749802948,20.74889781184291,False,0.0008511176537145957,1726.8523433208466,147128.25108093792,75
43,0.0496511972038889,0.006843114083244936,2.0065624497432424,0.5991299673711967,0.2538144372372655,0.3437920510805019,0.0750028882226077,4.460031731382525,0.017709974954619363,-0.0018511176537145957,-0.0016367819749802948,20.74889781184291,False,0.0008511176537145957,1764.5448160171509,147128.25108093792,76
44,0.0496511972038889,0.006843114083244936,2.0065624497432424,0.5991299673711967,0.2538144372372655,0.3437920510805019,0.0750028882226077,4.460031731382525,0.017709974954619363,-0.0018511176537145957,-0.0016367819749802948,20.74889781184291,False,0.0008511176537145957,1802.1154835224152,147128.25108093792,77
45,0.05057416991155393,0.006862105884414851,1.9200289685875545,0.5979968953171695,0.2466773473721422,0.3688705878191795,0.0699763689081998,4.345469545037835,0.018592108737822903,0.0015554791454377437,-0.0040578592177666906,20.714547829966953,False,0.0030578592177666905,1841.909950017929,530186.4947845784,79
46,0.05057416991155393,0.006862105884414851,1.9200289685875545,0.5979968953171695,0.2466773473721422,0.3688705878191795,0.0699763689081998,4.345469545037835,0.018592108737822903,0.0015554791454377437,-0.0040578592177666906,20.714547829966953,False,0.0030578592177666905,1879.1210567951202,530186.4947845784,80
47,0.05362415273727547,0.00688147247370567,1.9282585583948526,0.581453033509252,0.2542449555690194,0.38688785287650584,0.060634580912101055,4.184566075362743,0.018856843946539664,0.005847884263729952,-0.011424176369722261,20.70188561451759,False,0.01042417636972226,1918.4209489822388,112070.55978867854,82
48,0.0527821666672779,0.006883857798521319,1.9478837874758335,0.5862573555180471,0.24898606125752443,0.3806841730255275,0.06371637511116626,4.228759668149405,0.018450662250065815,0.004221114318625041,-0.00826819103834353,20.707619644833517,False,0.007268191038343531,1958.4580283164978,118456.90743708388,84
