SLSQPiter,Kp_h,Ki_h,Kp_th,Ki_th,Kd_th,Kp_V,Ki_V,Ts_h,M_h,SSe_h,SSe_V,Vmax,feas,feasResidual,Time(s),gradnorm,funCalls
24,0.14049150922328768,0.008973096478266794,2.085490095761393,0.8768629417031827,0.1379936068354667,0.993996253430218,0.31040447036238467,4.409695321491215,0.0966085819841081,-0.03916504776944407,6.71171843791285e-06,20.503467563495736,False,0.03816504776944407,1711.6461396217346,149.65236820442718,2403
25,0.19682425291445682,0.005897110802526348,2.7994209158402747,1.375839255914037,-0.7538425160534332,5.298913906815913,1.4733033691596034,5.334140377422994,0.08255794899886565,0.0764964187074213,-5.4685754012240295e-05,20.19185297335435,False,0.0754964187074213,1774.613040447235,169.13647485945586,2486
26,0.2652908382435165,0.005892867262902253,3.297037550875338,0.7308977318168625,-1.4170446433510417,8.234681007366186,2.245607802331267,7.40529116487358,0.08844824981101349,0.06253909164959737,-2.6391889914378908e-05,20.234995685718097,False,0.061539091649597366,1832.620190858841,169.14913079190714,2562
27,0.5375230206350359,0.00415102986902627,5.098138037809262,0.8258637882483811,-3.8911924504580715,10.0,5.648250933285741,inf,inf,inf,inf,inf,False,inf,1892.8097116947174,0.0,2638
28,0.23526705457642472,0.006024914058966199,3.557750596867276,0.8258016327256217,-2.4949094956523252,9.909721111546421,2.8746966451058342,8.95074702683644,0.10292161074100685,0.06017034940173005,3.4070648240458468e-06,20.361319908051918,False,0.05917034940173005,1946.6093804836273,146.82834732799503,2721
29,0.10832633876496411,0.007099677152628549,2.7552225598644067,0.8257597736692248,-0.6704885054423286,3.4517407300573515,1.0446240450199122,7.0319328867529975,0.06444748004461386,0.00916179078019752,-5.740435492640472e-05,20.13901639712483,False,0.00816179078019752,1996.2729849815369,57.391476988702465,2797
30,0.08528627364959138,0.00799712169962597,2.129652679935964,1.0872683425340264,0.09806712692646764,0.9244176203218011,0.3372958337395767,4.6966511687683035,0.07591436689253442,-0.008873454140697845,2.8503622914399784e-05,20.451489665694616,False,0.007873454140697844,2049.746812105179,195.61570013830647,2880
31,-0.01222512972736773,0.008822452233980349,2.6041098480334037,2.876893200687631,-0.278167263575284,1.7264762895450758,0.5687845421867164,inf,inf,inf,inf,inf,False,inf,2103.3314485549927,inf,2963
32,-0.015873865441452438,0.008700388177758027,2.551474894136362,2.8889741571584215,-0.4395396564918499,1.8151491208173776,0.593144737770594,inf,inf,inf,inf,inf,False,inf,2161.573677301407,133.53205422839116,3053
33,-0.09229490104751545,0.0104445909855484,2.7738184018794456,4.6173828856809305,-0.6320036387665553,2.2627848403321087,0.6780872588856973,26.882910800918047,1.000016442588249,173.94587946599964,5.336482558770369,53.584647758002646,False,173.94487946599963,2219.5532636642456,0.0037281773327422258,3143
34,-0.12753797383133758,0.011116592109271451,2.71162979213776,5.412950856716503,-0.6506207000775333,2.694656625492205,0.7763018356707272,inf,inf,inf,inf,inf,False,inf,2277.7304849624634,0.0,3233
35,0.06576663724446771,0.007223765695739163,2.7020909747143174,0.9880194527659141,-0.31202030874570746,0.709905736376291,0.33547662958169533,4.547948368472934,0.036723037520154884,-0.0001456143878755256,-1.167284410286129e-05,20.49105268054104,True,0.0,2335.6639177799225,517.2621053476213,3323
36,0.06697255751532473,0.0072334578176747235,2.7393459221438867,0.9844762062179913,-0.32414628322842176,0.706080233164327,0.3416806153890009,4.540716613801961,0.037890463803203885,-0.00010099074386005213,-1.1672183635624833e-05,20.49782426707608,True,0.0,2385.7444088459015,351.03053999924487,3399
37,0.06713393600070566,0.007234303846917823,2.7438122306191564,0.9837834093152225,-0.3253107161594222,0.7056770793120524,0.3424209955582746,4.539573392592665,0.03803929311990448,-9.175666049543452e-05,-1.170635155389732e-05,20.49865324982321,True,0.0,2439.1353254318237,339.10917733626843,3482
38,0.055465987922373526,0.006926047330948346,2.0837699938435645,0.8298253186964071,0.14512496240455425,0.8386220420800038,0.22980316953944568,3.797063243838287,0.019971805146022637,-0.0001679310885549512,-0.00026637157825604163,20.374161686434114,True,0.0,2490.8906042575836,364.3684836051787,3558
