SLSQPiter,Kp_h,Ki_h,Kp_th,Ki_th,Kd_th,Kp_V,Ki_V,Ts_h,M_h,SSe_h,SSe_V,Vmax,feas,feasResidual,Time(s),gradnorm,funCalls
25,0.01496397320009503,0.006127364663392152,0.23440041058552452,1.0631089703838934,-2.6523215594751366,2.976162395691258,0.5209660668253953,inf,inf,inf,inf,inf,False,inf,6306.434935092926,0.0,2368
26,10.0,10.0,10.0,10.0,10.0,-10.0,10.0,inf,inf,inf,inf,inf,False,inf,6530.453647613525,0.0,2451
27,0.9179133907883822,-0.027220882691953392,9.999999939842539,2.9394717736671367,9.99999994061058,0.8877625995065803,-0.58272289598025,inf,inf,inf,inf,inf,False,inf,6868.252942323685,0.0,2583
28,0.06682759483888628,0.007474519356231923,1.1740285423831027,1.9126857168957456,-1.1627094399409434,0.6045326652882907,0.5811101328607544,5.3970081185198024,0.08548495236533502,-0.000968073145628523,3.58815385581579e-06,20.946357961208683,True,0.0,7205.002015352249,460.51528149822065,2715
29,0.07194760157915361,0.0069544548025924505,1.6111207492732256,1.7326326299567965,-1.6069817024508475,2.227323054792314,1.5447203724383758,5.651435367499457,0.07802870759670918,0.009141389146606116,-9.585235186904129e-06,20.419285891741072,False,0.008141389146606115,7430.922298908234,199.59111648917522,2798
30,0.044585532523883795,0.007644948788236888,3.679697349954076,1.9966120783983863,-3.6291109120996454,10.0,6.64317265339348,inf,inf,inf,inf,inf,False,inf,7657.392410993576,inf,2881
31,0.05226050789918119,0.007529502711985972,2.015603217246519,1.9654648339622727,-1.9822047801705764,3.4292172850535287,2.030578286238314,3.7424923296655423,0.007309210995294306,-0.0009997698837196367,2.333844012269992e-06,20.237803884369473,True,0.0,7849.825976133347,348.4846611232828,2950
32,0.06198030499969785,0.007924403067384095,4.869414844277961,2.135223301169031,-4.831976165491503,10.0,6.274312870708825,inf,inf,inf,inf,inf,False,inf,8042.580676794052,inf,3019
33,0.3795680622688407,0.020965623805573562,10.0,7.698143722803238,-10.0,10.0,10.0,inf,inf,inf,inf,inf,False,inf,8251.275844573975,inf,3095
34,0.054469664015827916,0.007635496131252121,1.680203525673334,2.01171264925425,-1.6478568938254035,2.0588185704085777,1.504167233332254,3.0109330705704602,0.014475117078122374,-0.0014939101750286454,4.181963749516626e-06,20.331606601156118,False,0.0004939101750286454,8439.162607431412,310.0337151746693,3164
